seq,sec,nsec,X,Y,Z
1438,176,159000000,5.758422439644344,-0.018729678671388,1.68164982814403
1439,176,259000000,5.80769523986943,-0.0105043820104707,1.6806698281440295
1440,176,359000000,5.856968040094516,-0.0022790853495534,1.6796898281440291
1441,176,459000000,5.906240840319603,0.0059462113113638,1.6787098281440287
1442,176,559000000,5.955513640544689,0.0141715079722811,1.6777298281440285
1443,176,659000000,6.004786440769776,0.0223968046331984,1.6767498281440278
1444,176,759000000,6.054059240994862,0.0306221012941156,1.6757698281440274
1445,176,859000000,6.103332041219948,0.0388473979550329,1.674789828144027
1446,176,959000000,6.152604841445035,0.0470726946159501,1.6738098281440266
1447,177,59000000,6.201877641670121,0.0552979912768674,1.672829828144026
1448,177,159000000,6.251150441895208,0.0635232879377847,1.6718498281440255
1449,177,259000000,6.300423242120294,0.0717485845987019,1.6708698281440253
1450,177,359000000,6.34969604234538,0.0799738812596192,1.6698898281440249
1451,177,459000000,6.398968842570467,0.0881991779205364,1.6689098281440244
1452,177,559000000,6.448241642795553,0.0964244745814537,1.667929828144024
1453,177,659000000,6.49751444302064,0.104649771242371,1.6669498281440236
1454,177,759000000,6.546787243245726,0.1128750679032882,1.6659698281440232
1455,177,859000000,6.596060043470812,0.1211003645642055,1.6649898281440227
1456,177,959000000,6.645332843695899,0.1293256612251235,1.6640098281440223
1457,178,59000000,6.694605643920985,0.1375509578860421,1.663029828144022
1458,178,159000000,6.743878444146072,0.1457762545469608,1.6620498281440217
1459,178,259000000,6.793151244371158,0.1540015512078794,1.661069828144021
1460,178,359000000,6.842424044596244,0.1622268478687981,1.6600898281440206
1461,178,459000000,6.891696844821331,0.1704521445297167,1.6591098281440202
1462,178,559000000,6.94000190194169,0.1777096980858977,1.659097571248757
1463,178,659000000,6.989088297975178,0.1857485905551987,1.6583039754403737
1464,178,759000000,7.038360037160399,0.1939728261762497,1.6573250364802408
1465,178,859000000,7.0876328373854856,0.2021981228371683,1.6563450364802403
1466,178,959000000,7.136905637610572,0.210423419498087,1.65536503648024
1467,179,59000000,7.186178437835658,0.2186487161590056,1.6543850364802395
1468,179,159000000,7.235451238060745,0.2268740128199243,1.653405036480239
